,sim_21,sim_22,sim_23,sim_24,sim_25,sim_26,sim_27,sim_28,sim_29,sim_30
0,-2.041178689581193,-2.1137663607749397,-2.077532769955291,-2.0223690554248943,-2.169985639521984,-2.2196874895837175,-2.0481816435977374,-2.318039099850791,-2.3668095695403863,-1.83670313557689
1,-2.010131860994802,-2.1055363452329283,-2.0530992543488202,-2.0023519451988894,-2.1370892382849913,-2.18640499779984,-2.0266654461712004,-2.2863353596892955,-2.335671392561135,-1.8013616102363545
2,-1.968892814542864,-2.1017186828599703,-2.033006006976509,-1.982821918698811,-2.115155686890566,-2.1612823597931006,-2.012503091876824,-2.239548284298536,-2.3110728643866802,-1.7661281141891014
3,-1.8934405311531632,-2.0778432807494127,-1.9780152925626426,-1.9241263289699957,-2.051915063071527,-2.0917747478624653,-1.940812575309584,-2.1380496293769515,-2.2488241621590994,-1.6824687412827903
4,-1.8411326436357938,-2.0593769360296483,-1.934030157905731,-1.8800542179165052,-2.0138923620649734,-2.0470027313311716,-1.9054658206497885,-2.0703513431311085,-2.2096222789367976,-1.6330213208001456
5,-1.788472653787063,-2.023266521887059,-1.9009556513841772,-1.8430716609931217,-1.966091582648794,-2.0038349402191273,-1.8578363588116729,-2.0070169562992914,-2.168058392586698,-1.5744827979581053
6,-1.7077663044846367,-1.9782888763519884,-1.8337425416091573,-1.7770971443459818,-1.9022630830311855,-1.9273526918605401,-1.793046351383763,-1.9108166825543733,-2.092836459186652,-1.496607817704272
7,-1.6500313088813425,-1.9426572370149913,-1.7728487510488078,-1.727652093889001,-1.8578093064218895,-1.8775898918350717,-1.7435571767773015,-1.8329715897238383,-2.0352122952618843,-1.4348968077815965
8,-1.5693426817741236,-1.8712208282149947,-1.6954666565521501,-1.6418900833503902,-1.7850669253544666,-1.8009927730062605,-1.6564517247601003,-1.7265202276641503,-1.9492294802612347,-1.3373634770350087
9,-1.5060679400457928,-1.832867623990365,-1.6275428665959586,-1.577501054434463,-1.7306357880145777,-1.7316462421284293,-1.596729703096531,-1.6539665357281021,-1.870986155480258,-1.2687667423825006
10,-1.4441213654087774,-1.7731873757747065,-1.567816117053497,-1.5079142173617823,-1.6720473327580603,-1.6773017499250682,-1.5352186576859435,-1.5750735312536617,-1.7928266351863613,-1.2023382630784836
