,sim_51,sim_52,sim_53,sim_54,sim_55,sim_56,sim_57,sim_58,sim_59,sim_60
0,-2.2868410948344593,-1.8406317546747872,-2.126286065135167,-2.4643884000364618,-1.9548411905617755,-2.267959362319492,-1.7897860650700796,-2.3222303243757865,-2.18728133583198,-2.150519205139771
1,-2.2482101803186483,-1.835127173002458,-2.0958073806729707,-2.4375889265268094,-1.9356167564032603,-2.2281797784339816,-1.7802935087586549,-2.2867078590401073,-2.1576259320991213,-2.110670951048398
2,-2.209067194636864,-1.8090581201868703,-2.0603742377105085,-2.4075165812965813,-1.9024203839827747,-2.1981315473633267,-1.7511648640502704,-2.265718431944095,-2.1318408376492246,-2.0773174074320284
3,-2.1281973878347795,-1.7340225736163135,-1.9975240647781187,-2.335967066240842,-1.849711821262326,-2.1300823610640665,-1.6900253295050778,-2.194244545801201,-2.060492245164491,-2.0009341764974833
4,-2.068271738343484,-1.7030471244364702,-1.9528566526826376,-2.2855178350741374,-1.8124307535839717,-2.0670315624105444,-1.6504621163948272,-2.153253480981252,-2.016769830801393,-1.9520093681535693
5,-2.0091863810045623,-1.6640561685942512,-1.91346510800302,-2.2354643323671555,-1.7679407074129407,-2.0176176525114204,-1.5881344808962503,-2.1072081887689484,-1.9614264834995476,-1.900539141593418
6,-1.9114893600388285,-1.592114394742297,-1.8332798798117615,-2.1678974692492563,-1.7097445026808509,-1.9536441902003971,-1.5188274859828397,-2.0482404844418425,-1.8987917842028421,-1.828782620120653
7,-1.8357160211600834,-1.5381344649437407,-1.788467137239371,-2.113464784369694,-1.652167477093621,-1.883970754657497,-1.4698237694803005,-1.996959689911708,-1.8420164683277584,-1.7701122174628172
8,-1.72419970045363,-1.4565822940961808,-1.712546500952391,-2.0223196950383135,-1.5698362421207226,-1.8063310177128213,-1.3992751943585875,-1.896702958641492,-1.7587218472430548,-1.6849201934868718
9,-1.649461088388301,-1.3837845462235832,-1.6436126538701517,-1.954282948172491,-1.5052436864600205,-1.7428207969458007,-1.3414764397650323,-1.8345741929925878,-1.6881328515210934,-1.6211953567316022
10,-1.5717030501637568,-1.3161837273662105,-1.5807078167384276,-1.8932986439685968,-1.4513037473592914,-1.7027898557392516,-1.2884776105857854,-1.776716620099323,-1.6333101339054228,-1.5679053621977292
11,-1.4982555261403498,-1.2541447072038705,-1.5334408980597762,-1.8367583973956079,-1.3786544314965448,-1.6600167716667051,-1.237995659409704,-1.7111811233992158,-1.584916225606478,-1.5158750238821308
12,-1.4761830865987349,-1.214545367485489,-1.519659361918184,-1.8203362174323536,-1.3595961339324651,-1.6782431900464463,-1.2408083949220903,-1.6925645567746896,-1.5632327844946903,-1.5010384468953515
13,-1.4451953216767661,-1.1558543162485333,-1.4695995148826464,-1.7496147624138882,-1.3076420614535107,-1.6554102151915873,-1.205832125401002,-1.6262998895247038,-1.5079867589422895,-1.4573084230339475
14,-1.4216115835159824,-1.122013503445064,-1.45378490130774,-1.7322583192889816,-1.28038577052666,-1.6370175770353375,-1.1951571622389916,-1.6030292082320818,-1.4991402354932666,-1.4399179336757557
15,-1.4205680143450876,-1.078352709288665,-1.443374465322736,-1.7142078087669852,-1.258803049715854,-1.6528801966004993,-1.2067461501580603,-1.5907272060405193,-1.4832670934226648,-1.435006749595696
16,-1.4118132026253412,-1.0503634389187417,-1.4207546636550488,-1.6707340894235763,-1.2321552682428025,-1.6592375882336468,-1.1991693450384107,-1.558824872769481,-1.4655304021931794,-1.423201127356699
17,-1.3860946502284528,-1.009143371468238,-1.3878592665511271,-1.633934341195018,-1.2061607419873908,-1.6395015544710188,-1.2060289388821877,-1.5281651276983892,-1.4385593186541312,-1.3948592587370006
18,-1.3725012879995364,-0.986906091075125,-1.3776736331835877,-1.6205336019312895,-1.1810771160255908,-1.666179326916354,-1.2083519434601449,-1.4935394717157444,-1.4238177678146398,-1.385952362076346
19,-1.345316370662593,-0.9449618283254875,-1.3347632238075866,-1.594914395578784,-1.1551870913147244,-1.6368313131997152,-1.1922192760166404,-1.4868788424965242,-1.4011592228399905,-1.3658867501857623
